"country","iso2c","iso3c","year","diabetes_rate","gdp_pc_const"
"Cambodia","KH","KHM",2010,NA,1155.85236856699
"Cambodia","KH","KHM",2011,2.9,1221.38839852454
"Cambodia","KH","KHM",2012,NA,1295.25271477893
"Cambodia","KH","KHM",2013,NA,1376.29557595926
"Cambodia","KH","KHM",2014,NA,1464.53115866927
"Cambodia","KH","KHM",2015,NA,1547.32010444393
"Cambodia","KH","KHM",2016,NA,1645.46671578126
"Cambodia","KH","KHM",2017,NA,1753.93530504662
"Cambodia","KH","KHM",2018,NA,1884.28374817086
"Cambodia","KH","KHM",2019,NA,2008.32094006706
"Cambodia","KH","KHM",2020,NA,1908.63427518336
"Indonesia","ID","IDN",2010,NA,2670.8129098953
"Indonesia","ID","IDN",2011,5.1,2799.62468790318
"Indonesia","ID","IDN",2012,NA,2930.518445323
"Indonesia","ID","IDN",2013,NA,3055.24246006469
"Indonesia","ID","IDN",2014,NA,3170.72103011429
"Indonesia","ID","IDN",2015,NA,3288.22269725538
"Indonesia","ID","IDN",2016,NA,3416.81005170972
"Indonesia","ID","IDN",2017,NA,3553.51999262321
"Indonesia","ID","IDN",2018,NA,3701.32155461912
"Indonesia","ID","IDN",2019,NA,3850.90321738979
"Indonesia","ID","IDN",2020,NA,3739.44906563161
"Lao PDR","LA","LAO",2010,NA,1564.91068311647
"Lao PDR","LA","LAO",2011,3.3,1666.40086189871
"Lao PDR","LA","LAO",2012,NA,1774.63585203672
"Lao PDR","LA","LAO",2013,NA,1890.27861294875
"Lao PDR","LA","LAO",2014,NA,2006.31195444447
"Lao PDR","LA","LAO",2015,NA,2121.01339097363
"Lao PDR","LA","LAO",2016,NA,2234.76098741846
"Lao PDR","LA","LAO",2017,NA,2351.57441747595
"Lao PDR","LA","LAO",2018,NA,2459.97874636195
"Lao PDR","LA","LAO",2019,NA,2554.95638019245
"Lao PDR","LA","LAO",2020,NA,2529.74622698761
"Malaysia","MY","MYS",2010,NA,8118.92270511981
"Malaysia","MY","MYS",2011,12.1,8400.32248683558
"Malaysia","MY","MYS",2012,NA,8710.52671359902
"Malaysia","MY","MYS",2013,NA,8964.80724896203
"Malaysia","MY","MYS",2014,NA,9341.73055971278
"Malaysia","MY","MYS",2015,NA,9648.6797937523
"Malaysia","MY","MYS",2016,NA,9901.47960179812
"Malaysia","MY","MYS",2017,NA,10293.7629205362
"Malaysia","MY","MYS",2018,NA,10610.1950240479
"Malaysia","MY","MYS",2019,NA,10902.9834855856
"Malaysia","MY","MYS",2020,NA,10171.4657842762
"Philippines","PH","PHL",2010,NA,2373.14312064664
"Philippines","PH","PHL",2011,9.7,2416.75212064542
"Philippines","PH","PHL",2012,NA,2533.74141964959
"Philippines","PH","PHL",2013,NA,2654.41506933978
"Philippines","PH","PHL",2014,NA,2776.92005909479
"Philippines","PH","PHL",2015,NA,2909.85818010301
"Philippines","PH","PHL",2016,NA,3076.3374186759
"Philippines","PH","PHL",2017,NA,3247.4503878362
"Philippines","PH","PHL",2018,NA,3410.93647976109
"Philippines","PH","PHL",2019,NA,3575.88170922922
"Philippines","PH","PHL",2020,NA,3198.66690008413
"Thailand","TH","THA",2010,NA,5059.35747831657
"Thailand","TH","THA",2011,7.5,5070.23740191942
"Thailand","TH","THA",2012,NA,5403.87846036273
"Thailand","TH","THA",2013,NA,5516.61164164135
"Thailand","TH","THA",2014,NA,5541.46599361845
"Thailand","TH","THA",2015,NA,5688.85335397884
"Thailand","TH","THA",2016,NA,5857.78052935926
"Thailand","TH","THA",2017,NA,6076.74307700082
"Thailand","TH","THA",2018,NA,6314.19948412043
"Thailand","TH","THA",2019,NA,6434.53770518034
"Thailand","TH","THA",2020,NA,6035.18627737077
"Viet Nam","VN","VNM",2010,NA,2027.58184375924
"Viet Nam","VN","VNM",2011,3.2,2132.90453762087
"Viet Nam","VN","VNM",2012,NA,2224.11404253256
"Viet Nam","VN","VNM",2013,NA,2320.08431444934
"Viet Nam","VN","VNM",2014,NA,2439.28655744423
"Viet Nam","VN","VNM",2015,NA,2577.56885340113
"Viet Nam","VN","VNM",2016,NA,2715.57887431272
"Viet Nam","VN","VNM",2017,NA,2868.13680013379
"Viet Nam","VN","VNM",2018,NA,3048.28327602145
"Viet Nam","VN","VNM",2019,NA,3241.07648966529
"Viet Nam","VN","VNM",2020,NA,3303.16949807493
